time,Unpolarized_A_Green,Unpolarized_A_Red,Unpolarized_A_IR,Unpolarized_B_Green,Unpolarized_B_Red,Unpolarized_B_IR,Co-Polarized_Green,Co-Polarized_Red,Co-Polarized_IR,Cross-Polarized_Green,Cross-Polarized_Red,Cross-Polarized_IR,SkinTone,Speed,Depth,Experiment
2025-10-21T20:40:02.495Z,3286,5951,22890,4502,8197,25507,5739,5170,18180,7711,11134,30721,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:02.535Z,3290,5945,22882,4505,8200,25502,4645,5175,18180,7298,11135,30707,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:02.575Z,3297,5950,22893,4508,8198,25503,3716,5183,18131,6863,11057,30564,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:02.615Z,3308,5974,22952,4506,8193,25508,3132,5166,17999,6572,10752,30061,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:02.655Z,3328,6016,23059,4493,8184,25519,2935,5108,17741,6272,10108,28950,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:02.695Z,3359,6058,23186,4478,8168,25533,3062,5024,17394,5801,9262,27447,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:02.735Z,3385,6081,23273,4469,8156,25539,3416,4957,17133,5240,8668,26397,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:02.775Z,3385,6076,23270,4469,8155,25534,3782,4942,17110,4874,8666,26433,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:02.815Z,3365,6050,23195,4474,8162,25521,3984,4977,17278,4926,9113,27262,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:02.855Z,3340,6019,23108,4479,8169,25513,4055,5032,17500,5349,9663,28225,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:02.895Z,3317,5993,23044,4484,8173,25516,4065,5084,17694,5830,10123,28993,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:02.935Z,3299,5976,23008,4487,8173,25526,4080,5122,17831,6136,10430,29494,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:02.975Z,3290,5968,22986,4490,8171,25535,4160,5145,17889,6271,10570,29694,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:03.015Z,3289,5969,22975,4490,8169,25542,4304,5150,17865,6289,10537,29592,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:03.055Z,3297,5979,22984,4489,8168,25538,4477,5137,17798,6226,10369,29306,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:03.095Z,3306,5984,22994,4487,8164,25526,4685,5123,17767,6202,10244,29141,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:03.135Z,3308,5975,22976,4489,8160,25516,4943,5133,17832,6362,10368,29398,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:03.175Z,3300,5964,22938,4494,8166,25510,5057,5160,17960,6607,10690,29964,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:03.215Z,3292,5956,22913,4495,8177,25500,4831,5174,18067,6711,10958,30424,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:03.255Z,3289,5942,22904,4493,8185,25496,4451,5172,18124,6678,11075,30608,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:03.295Z,3292,5927,22891,4496,8184,25503,4156,5168,18155,6646,11119,30660,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:03.336Z,3298,5920,22873,4511,8178,25508,4046,5164,18170,6655,11144,30705,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:03.376Z,3310,5926,22870,4534,8173,25502,4153,5158,18168,6660,11129,30714,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:03.416Z,3328,5940,22895,4551,8174,25493,4309,5150,18122,6593,11007,30541,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:03.456Z,3344,5962,22953,4546,8177,25493,4327,5130,17976,6372,10661,29924,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:03.496Z,3361,5995,23059,4518,8170,25506,4232,5080,17682,5944,9977,28673,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:03.536Z,3378,6034,23194,4482,8153,25526,4128,5000,17304,5426,9122,27122,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:03.576Z,3386,6062,23286,4455,8141,25539,4068,4934,17055,5106,8579,26170,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:03.616Z,3376,6060,23280,4448,8143,25540,4062,4922,17078,5155,8659,26354,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:03.656Z,3353,6038,23199,4454,8157,25536,4095,4954,17295,5456,9165,27273,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:03.696Z,3332,6013,23105,4465,8176,25528,4138,4998,17548,5794,9727,28267,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:03.736Z,3321,5990,23034,4477,8194,25518,4167,5032,17750,6051,10157,29034,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:03.776Z,3319,5971,22985,4491,8206,25511,4177,5055,17864,6197,10421,29494,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:03.816Z,3317,5967,22944,4504,8204,25513,4180,5079,17880,6240,10521,29611,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:03.856Z,3312,5973,22928,4512,8186,25522,4186,5099,17827,6193,10454,29433,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:03.896Z,3312,5976,22947,4514,8167,25524,4193,5102,17765,6104,10281,29162,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:03.936Z,3313,5977,22967,4511,8165,25515,4201,5092,17765,6097,10193,29153,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:03.976Z,3309,5972,22946,4510,8179,25504,4218,5090,17864,6256,10352,29590,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:04.016Z,3297,5962,22897,4513,8192,25498,4244,5120,17996,6487,10676,30179,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:04.056Z,3284,5957,22869,4510,8198,25498,4270,5189,18079,6629,10963,30535,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:04.096Z,3278,5957,22876,4504,8198,25504,4282,5268,18114,6660,11125,30646,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:04.136Z,3280,5951,22887,4502,8194,25511,4275,5303,18137,6654,11217,30682,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:04.176Z,3281,5941,22879,4504,8182,25514,4261,5275,18156,6657,11338,30711,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:04.216Z,3276,5939,22877,4499,8170,25506,4251,5241,18159,6648,11489,30694,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:04.256Z,3278,5949,22908,4487,8166,25496,4243,5344,18113,6558,11461,30458,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:04.296Z,3297,5973,22981,4476,8172,25504,4228,5848,17957,6295,11061,29714,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:04.336Z,3330,6013,23098,4469,8177,25527,4185,6810,17642,5829,10361,28337,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:04.376Z,3363,6061,23228,4463,8172,25547,4112,7524,17257,5307,9530,26781,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:04.416Z,3375,6089,23299,4457,8163,25549,4044,7347,17029,5010,8863,25943,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:04.456Z,3366,6085,23269,4456,8162,25538,4025,6605,17082,5080,8733,26247,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:04.496Z,3346,6059,23177,4463,8168,25527,4054,5741,17307,5395,9102,27246,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:04.536Z,3328,6022,23085,4472,8169,25520,4106,4810,17545,5757,9569,28296,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:04.576Z,3317,5983,23020,4479,8162,25515,4164,3707,17728,6052,9861,29084,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:04.616Z,3310,5959,22975,4487,8155,25510,4214,2697,17845,6232,10019,29538,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:04.656Z,3307,5958,22955,4494,8153,25506,4236,2368,17888,6273,10100,29662,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:04.696Z,3307,5972,22969,4496,8155,25501,4228,2651,17857,6197,10007,29522,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:04.736Z,3306,5981,22991,4495,8159,25500,4215,3185,17806,6116,9891,29360,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:04.776Z,3298,5969,22984,4495,8162,25503,4224,3998,17830,6175,10092,29536,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:04.816Z,3290,5953,22956,4499,8169,25511,4252,4923,17945,6367,10552,30035,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:04.856Z,3294,5950,22942,4503,8181,25513,4272,5656,18059,6529,10921,30451,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:04.896Z,3303,5952,22938,4506,8192,25505,4271,6027,18117,6590,11104,30612,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:04.936Z,3305,5947,22920,4508,8194,25499,4255,5997,18136,6607,11222,30647,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:04.976Z,3297,5940,22896,4510,8191,25502,4234,5757,18147,6619,11297,30668,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:05.016Z,3292,5942,22888,4509,8191,25505,4220,5497,18160,6621,11289,30696,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:05.056Z,3297,5946,22903,4507,8191,25507,4213,5305,18163,6594,11214,30649,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:05.096Z,3306,5947,22932,4506,8187,25515,4200,5202,18110,6488,11025,30350,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:05.136Z,3319,5961,22989,4500,8180,25528,4175,5139,17929,6212,10547,29539,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:05.176Z,3342,6000,23100,4486,8171,25543,4128,5074,17592,5732,9719,28121,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:05.216Z,3371,6049,23243,4468,8160,25556,4069,5004,17217,5219,8840,26602,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:05.256Z,3387,6076,23326,4458,8152,25561,4034,4959,17014,4970,8401,25865,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:05.296Z,3380,6069,23292,4463,8153,25552,4047,4967,17078,5101,8598,26264,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:05.336Z,3364,6043,23185,4477,8164,25533,4091,5016,17312,5453,9175,27325,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:05.376Z,3350,6019,23078,4492,8177,25515,4145,5080,17570,5822,9789,28402,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:05.416Z,3332,6006,23009,4500,8190,25507,4200,5138,17770,6101,10254,29178,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:05.456Z,3316,6004,22980,4502,8201,25504,4237,5164,17887,6249,10500,29590,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:05.496Z,3313,6003,22979,4503,8206,25504,4241,5144,17919,6259,10526,29647,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:05.536Z,3322,5997,22983,4505,8204,25511,4214,5107,17883,6178,10415,29442,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:05.576Z,3327,5988,22982,4506,8196,25517,4187,5094,17838,6125,10349,29288,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:05.616Z,3322,5976,22969,4506,8188,25520,4182,5109,17872,6223,10512,29540,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:05.656Z,3311,5963,22938,4509,8185,25523,4189,5131,17971,6423,10829,30077,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:05.696Z,3304,5956,22903,4515,8183,25526,4194,5150,18048,6567,11056,30463,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:05.736Z,3298,5959,22882,4517,8179,25521,4200,5176,18097,6621,11143,30623,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:05.776Z,3293,5962,22878,4513,8177,25508,4207,5202,18150,6633,11170,30700,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:05.816Z,3293,5954,22875,4508,8176,25497,4211,5220,18193,6630,11175,30732,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:05.856Z,3292,5943,22862,4504,8175,25494,4220,5226,18207,6623,11166,30723,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:05.896Z,3285,5950,22866,4498,8179,25494,4233,5213,18184,6594,11096,30643,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:05.936Z,3283,5978,22914,4488,8188,25496,4230,5172,18101,6467,10854,30300,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:05.976Z,3299,6009,23004,4477,8188,25502,4190,5106,17897,6148,10318,29397,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:06.016Z,3332,6037,23127,4464,8170,25515,4116,5021,17560,5647,9499,27918,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:06.056Z,3364,6060,23246,4452,8145,25529,4043,4937,17212,5168,8706,26476,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:06.096Z,3374,6067,23295,4447,8132,25537,4011,4897,17044,4979,8388,25912,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:06.136Z,3357,6050,23253,4452,8135,25534,4036,4920,17130,5144,8670,26424,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:06.176Z,3332,6016,23161,4463,8145,25525,4097,4983,17366,5503,9270,27480,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:06.216Z,3320,5984,23075,4479,8155,25519,4155,5050,17608,5864,9863,28522,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:06.256Z,3322,5966,23022,4495,8166,25518,4183,5101,17790,6118,10291,29275,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:06.296Z,3320,5957,22991,4502,8178,25521,4183,5133,17888,6238,10515,29650,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:06.336Z,3313,5953,22975,4501,8184,25524,4175,5142,17894,6250,10555,29683,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:06.376Z,3309,5961,22981,4499,8180,25526,4163,5128,17838,6178,10439,29470,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:06.416Z,3315,5976,23000,4497,8174,25524,4157,5106,17782,6086,10288,29215,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:06.456Z,3320,5977,22999,4497,8176,25519,4178,5111,17800,6105,10313,29239,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:06.496Z,3319,5961,22969,4499,8183,25513,4223,5143,17907,6273,10567,29646,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:06.536Z,3314,5945,22933,4503,8190,25507,4254,5171,18037,6460,10858,30154,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:06.576Z,3310,5938,22904,4508,8194,25503,4247,5185,18124,6566,11039,30482,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:06.616Z,3303,5941,22882,4513,8193,25503,4223,5201,18149,6608,11128,30621,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:06.656Z,3293,5954,22875,4515,8194,25504,4213,5221,18143,6628,11171,30676,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:06.696Z,3285,5966,22881,4511,8200,25507,4218,5232,18136,6629,11171,30677,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:06.736Z,3283,5965,22879,4507,8201,25515,4226,5226,18109,6589,11105,30544,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:06.776Z,3292,5964,22886,4507,8196,25529,4224,5202,18010,6448,10872,30104,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:06.816Z,3315,5983,22956,4501,8184,25541,4192,5147,17788,6119,10314,29142,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:06.856Z,3351,6023,23099,4486,8166,25543,4127,5056,17452,5616,9454,27693,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:06.896Z,3383,6064,23238,4470,8152,25537,4062,4965,17137,5161,8675,26381,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:06.935Z,3391,6079,23290,4463,8150,25535,4038,4924,17022,5016,8425,25995,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:06.975Z,3376,6065,23248,4467,8158,25535,4057,4945,17143,5209,8754,26619,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:07.015Z,3357,6036,23162,4481,8168,25532,4100,5003,17379,5558,9346,27672,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:07.055Z,3345,6006,23074,4498,8174,25527,4155,5073,17603,5903,9919,28636,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:07.095Z,3333,5982,23008,4509,8172,25522,4206,5132,17764,6158,10334,29319,Fair,Slow,2.5mm,Experiment_1
