time,Unpolarized_A_Green,Unpolarized_A_Red,Unpolarized_A_IR,Unpolarized_B_Green,Unpolarized_B_Red,Unpolarized_B_IR,Co-Polarized_Green,Co-Polarized_Red,Co-Polarized_IR,Cross-Polarized_Green,Cross-Polarized_Red,Cross-Polarized_IR,SkinTone,Speed,Depth,Experiment
2025-10-21T20:55:36.755Z,3367,6092,23240,4448,8175,25487,4031,4927,17062,5358,9050,27004,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:36.795Z,3373,6111,23303,4437,8170,25502,4011,4893,16943,5171,8721,26471,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:36.835Z,3353,6093,23247,4443,8174,25498,4041,4930,17081,5391,9088,27165,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:36.875Z,3327,6060,23147,4455,8180,25484,4084,4994,17298,5741,9681,28218,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:36.915Z,3310,6037,23079,4464,8184,25469,4110,5037,17433,5959,10053,28853,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:36.955Z,3301,6032,23040,4469,8193,25456,4125,5059,17518,6077,10255,29193,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:36.995Z,3294,6035,22994,4474,8210,25446,4143,5081,17633,6239,10516,29651,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:37.035Z,3295,6036,22952,4481,8224,25440,4160,5109,17742,6414,10796,30130,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:37.075Z,3302,6031,22940,4486,8226,25439,4162,5129,17764,6475,10897,30288,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:37.115Z,3310,6030,22972,4482,8216,25442,4149,5113,17669,6350,10700,29925,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:37.155Z,3327,6049,23059,4471,8201,25451,4119,5046,17441,6004,10119,28896,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:37.195Z,3354,6080,23178,4455,8181,25459,4073,4955,17146,5539,9323,27513,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:37.235Z,3366,6093,23238,4442,8163,25456,4040,4906,16992,5292,8892,26796,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:37.275Z,3349,6078,23191,4442,8160,25448,4045,4929,17095,5448,9160,27293,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:37.315Z,3323,6056,23100,4452,8173,25444,4077,4980,17309,5779,9728,28292,Fair,Fast,2.5mm,Experiment_1
