time,Unpolarized_A_Green,Unpolarized_A_Red,Unpolarized_A_IR,Unpolarized_B_Green,Unpolarized_B_Red,Unpolarized_B_IR,Co-Polarized_Green,Co-Polarized_Red,Co-Polarized_IR,Cross-Polarized_Green,Cross-Polarized_Red,Cross-Polarized_IR,SkinTone,Speed,Depth,Experiment
2025-10-21T20:50:03.357Z,3293,5991,22953,4480,8198,25474,4181,5110,17808,6433,10818,30084,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:03.397Z,3318,6038,23062,4467,8202,25491,4118,5060,17549,6011,10119,28886,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:03.437Z,3350,6089,23193,4447,8197,25499,4043,4990,17217,5480,9219,27367,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:03.477Z,3365,6112,23251,4432,8195,25489,4004,4948,17036,5205,8742,26605,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:03.517Z,3355,6096,23199,4432,8205,25472,4026,4965,17127,5368,9014,27134,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:03.557Z,3335,6060,23106,4446,8215,25467,4078,5023,17369,5765,9687,28298,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:03.597Z,3321,6025,23039,4464,8209,25473,4122,5082,17585,6086,10239,29203,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:03.637Z,3317,6002,23007,4478,8192,25478,4146,5110,17699,6208,10451,29545,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:03.677Z,3317,5994,22994,4481,8180,25474,4148,5102,17727,6200,10430,29554,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:03.717Z,3309,5996,22981,4478,8183,25464,4143,5085,17749,6226,10452,29673,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:03.757Z,3295,5998,22954,4479,8195,25457,4149,5084,17816,6362,10669,30070,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:03.797Z,3288,5994,22923,4487,8204,25456,4168,5097,17889,6512,10931,30464,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:03.837Z,3290,5986,22899,4495,8208,25457,4187,5111,17929,6589,11075,30653,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:03.877Z,3295,5978,22888,4496,8207,25458,4201,5120,17942,6608,11108,30683,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:03.917Z,3301,5976,22902,4493,8205,25462,4200,5122,17913,6548,11011,30490,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:03.957Z,3313,5997,22972,4482,8205,25472,4163,5096,17767,6298,10606,29753,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:03.997Z,3339,6044,23110,4464,8201,25488,4086,5020,17449,5804,9792,28291,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:04.037Z,3370,6096,23264,4448,8192,25505,4009,4921,17090,5284,8924,26730,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:04.077Z,3382,6119,23327,4447,8187,25511,3987,4879,16951,5112,8636,26203,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:04.117Z,3366,6100,23261,4460,8187,25504,4030,4921,17115,5384,9091,27007,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:04.157Z,3341,6061,23141,4476,8189,25494,4101,4997,17404,5825,9816,28317,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:04.197Z,3327,6032,23056,4486,8192,25492,4153,5052,17614,6128,10300,29218,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:04.237Z,3327,6023,23036,4491,8195,25500,4163,5073,17674,6185,10398,29424,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:04.277Z,3332,6023,23050,4495,8195,25512,4140,5074,17642,6095,10277,29239,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:04.317Z,3336,6022,23047,4501,8196,25515,4123,5078,17634,6060,10239,29205,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:04.357Z,3329,6014,23006,4504,8202,25501,4138,5100,17716,6196,10457,29590,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:04.397Z,3312,6003,22952,4502,8211,25482,4172,5125,17844,6417,10802,30156,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:04.437Z,3296,5996,22914,4499,8217,25471,4196,5131,17937,6576,11044,30550,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:04.477Z,3290,5995,22905,4496,8216,25466,4197,5118,17961,6611,11085,30622,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:04.517Z,3296,6008,22938,4487,8211,25470,4177,5089,17882,6470,10845,30209,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:04.557Z,3317,6040,23030,4471,8203,25482,4124,5030,17639,6068,10186,29059,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:04.597Z,3346,6082,23159,4449,8189,25492,4048,4945,17276,5504,9249,27447,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:04.637Z,3360,6106,23237,4429,8178,25488,4000,4892,17023,5148,8643,26457,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:04.677Z,3346,6091,23197,4423,8176,25470,4020,4917,17065,5261,8820,26841,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:04.717Z,3319,6046,23091,4430,8177,25451,4088,4993,17313,5677,9512,28056,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:04.757Z,3298,6006,23010,4443,8175,25446,4154,5060,17550,6050,10138,29089,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:04.797Z,3291,5991,22986,4455,8179,25455,4187,5089,17664,6211,10420,29524,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:04.837Z,3290,5996,22994,4463,8187,25461,4186,5086,17689,6232,10472,29602,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:04.877Z,3288,6002,22984,4469,8191,25456,4180,5078,17730,6295,10575,29808,Fair,Medium,2.5mm,Experiment_2
