ts,user_id,device_id,source,x,y,z,time_s
2026-03-13 16:59:38.780000+00:00,0,0,0,-3568,1321,-1666,19.927
2026-03-13 16:59:38.818000+00:00,0,0,0,-3553,1334,-1636,19.965
2026-03-13 16:59:38.857000+00:00,0,0,0,-3543,1345,-1644,20.004
2026-03-13 16:59:38.896000+00:00,0,0,0,-3538,1355,-1679,20.043
2026-03-13 16:59:38.935000+00:00,0,0,0,-3541,1346,-1673,20.082
2026-03-13 16:59:38.973000+00:00,0,0,0,-3565,1365,-1649,20.12
2026-03-13 16:59:39.012000+00:00,0,0,0,-3572,1363,-1617,20.159
2026-03-13 16:59:39.051000+00:00,0,0,0,-3562,1297,-1621,20.198
2026-03-13 16:59:39.089000+00:00,0,0,0,-3522,1275,-1653,20.236
2026-03-13 16:59:39.128000+00:00,0,0,0,-3544,1353,-1691,20.275
2026-03-13 16:59:39.167000+00:00,0,0,0,-3561,1420,-1658,20.314
2026-03-13 16:59:39.205000+00:00,0,0,0,-3565,1405,-1596,20.352
2026-03-13 16:59:39.244000+00:00,0,0,0,-3538,1364,-1584,20.391
2026-03-13 16:59:39.283000+00:00,0,0,0,-3557,1362,-1638,20.43
2026-03-13 16:59:39.321000+00:00,0,0,0,-3560,1356,-1693,20.468
2026-03-13 16:59:39.360000+00:00,0,0,0,-3516,1344,-1703,20.507
2026-03-13 16:59:39.399000+00:00,0,0,0,-3556,1348,-1640,20.546
2026-03-13 16:59:39.438000+00:00,0,0,0,-3560,1369,-1609,20.585
2026-03-13 16:59:39.476000+00:00,0,0,0,-3532,1383,-1608,20.623
2026-03-13 16:59:39.515000+00:00,0,0,0,-3604,1322,-1628,20.662
2026-03-13 16:59:39.554000+00:00,0,0,0,-3518,1364,-1639,20.701
2026-03-13 16:59:39.592000+00:00,0,0,0,-3540,1417,-1652,20.739
2026-03-13 16:59:39.631000+00:00,0,0,0,-3554,1418,-1662,20.778
2026-03-13 16:59:39.670000+00:00,0,0,0,-3548,1328,-1634,20.817
2026-03-13 16:59:39.708000+00:00,0,0,0,-3571,1257,-1627,20.855
2026-03-13 16:59:39.761000+00:00,0,0,0,-3544,1278,-1653,20.908
2026-03-13 16:59:39.786000+00:00,0,0,0,-3558,1359,-1681,20.933
2026-03-13 16:59:39.824000+00:00,0,0,0,-3560,1377,-1661,20.971
